Country,Vaccine,Rec_Level
afghanistan,Measles,All travelers
afghanistan,Routine vaccines,All travelers
afghanistan,Polio,All travelers
afghanistan,Hepatitis A,Most travelers
afghanistan,Typhoid,Most travelers
afghanistan,Cholera,Some travelers
afghanistan,Hepatitis B,Some travelers
afghanistan,Malaria,Some travelers
afghanistan,Rabies,Some travelers
albania,Measles,All travelers
albania,Routine vaccines,All travelers
albania,Hepatitis A,Most travelers
albania,Hepatitis B,Some travelers
albania,Rabies,Some travelers
albania,Yellow Fever,Some travelers
algeria,Measles,All travelers
algeria,Routine vaccines,All travelers
algeria,Hepatitis A,Most travelers
algeria,Typhoid,Most travelers
algeria,Cholera,Some travelers
algeria,Malaria,Some travelers
algeria,Hepatitis B,Some travelers
algeria,Rabies,Some travelers
algeria,Yellow Fever,Some travelers
american-samoa,Routine vaccines,All travelers
american-samoa,Hepatitis A,Most travelers
american-samoa,Typhoid,Most travelers
american-samoa,Hepatitis B,Some travelers
andorra,Measles,All travelers
andorra,Routine vaccines,All travelers
andorra,Hepatitis A,Some travelers
andorra,Hepatitis B,Some travelers
andorra,Rabies,Some travelers
british-virgin-islands,Measles,All travelers
british-virgin-islands,Routine vaccines,All travelers
british-virgin-islands,Hepatitis A,Most travelers
british-virgin-islands,Typhoid,Most travelers
british-virgin-islands,Hepatitis B,Some travelers
british-virgin-islands,Rabies,Some travelers
angola,Measles,All travelers
angola,Yellow Fever,All travelers
angola,Routine vaccines,All travelers
angola,Polio,All travelers
angola,Hepatitis A,Most travelers
angola,Malaria,Most travelers
angola,Typhoid,Most travelers
angola,Cholera,Some travelers
angola,Hepatitis B,Some travelers
angola,Rabies,Some travelers
anguilla,Measles,All travelers
anguilla,Routine vaccines,All travelers
anguilla,Hepatitis A,Most travelers
anguilla,Typhoid,Most travelers
anguilla,Hepatitis B,Some travelers
anguilla,Rabies,Some travelers
antarctica,NA,None
antigua-and-barbuda,Measles,All travelers
antigua-and-barbuda,Routine vaccines,All travelers
antigua-and-barbuda,Hepatitis A,Most travelers
antigua-and-barbuda,Typhoid,Most travelers
antigua-and-barbuda,Hepatitis B,Some travelers
antigua-and-barbuda,Rabies,Some travelers
antigua-and-barbuda,Yellow Fever,Some travelers
argentina,Measles,All travelers
argentina,Routine vaccines,All travelers
argentina,Hepatitis A,Most travelers
argentina,Typhoid,Most travelers
argentina,Hepatitis B,Some travelers
argentina,Rabies,Some travelers
argentina,Yellow Fever,Some travelers
armenia,Measles,All travelers
armenia,Routine vaccines,All travelers
armenia,Hepatitis A,Most travelers
armenia,Hepatitis B,Some travelers
armenia,Rabies,Some travelers
aruba,Measles,All travelers
aruba,Routine vaccines,All travelers
aruba,Hepatitis A,Most travelers
aruba,Typhoid,Most travelers
aruba,Hepatitis B,Some travelers
aruba,Rabies,Some travelers
french-polynesia,Measles,All travelers
french-polynesia,Routine vaccines,All travelers
french-polynesia,Hepatitis A,Most travelers
french-polynesia,Typhoid,Most travelers
french-polynesia,Yellow Fever,Some travelers
french-polynesia,Hepatitis B,Some travelers
australia,Measles,All travelers
australia,Routine vaccines,All travelers
australia,Hepatitis A,Some travelers
australia,Hepatitis B,Some travelers
australia,Japanese Encephalitis,Some travelers
australia,Rabies,Some travelers
australia,Yellow Fever,Some travelers
austria,Measles,All travelers
austria,Routine vaccines,All travelers
austria,Hepatitis A,Some travelers
austria,Hepatitis B,Some travelers
austria,Rabies,Some travelers
azerbaijan,Measles,All travelers
azerbaijan,Routine vaccines,All travelers
azerbaijan,Hepatitis A,Most travelers
azerbaijan,Hepatitis B,Some travelers
azerbaijan,Malaria,Some travelers
azerbaijan,Rabies,Some travelers
azores,Measles,All travelers
azores,Routine vaccines,All travelers
azores,Hepatitis A,Some travelers
azores,Hepatitis B,Some travelers
azores,Rabies,Some travelers
the-bahamas,Measles,All travelers
the-bahamas,Routine vaccines,All travelers
the-bahamas,Hepatitis A,Most travelers
the-bahamas,Typhoid,Most travelers
the-bahamas,Hepatitis B,Some travelers
the-bahamas,Rabies,Some travelers
the-bahamas,Yellow Fever,Some travelers
bahrain,Measles,All travelers
bahrain,Routine vaccines,All travelers
bahrain,Hepatitis A,Most travelers
bahrain,Typhoid,Most travelers
bahrain,Hepatitis B,Some travelers
bahrain,Rabies,Some travelers
bahrain,Yellow Fever,Some travelers
bangladesh,Measles,All travelers
bangladesh,Routine vaccines,All travelers
bangladesh,Hepatitis A,Most travelers
bangladesh,Typhoid,Most travelers
bangladesh,Cholera,Some travelers
bangladesh,Hepatitis B,Some travelers
bangladesh,Japanese Encephalitis,Some travelers
bangladesh,Malaria,Some travelers
bangladesh,Rabies,Some travelers
bangladesh,Yellow Fever,Some travelers
barbados,Measles,All travelers
barbados,Routine vaccines,All travelers
barbados,Hepatitis A,Most travelers
barbados,Typhoid,Most travelers
barbados,Hepatitis B,Some travelers
barbados,Rabies,Some travelers
barbados,Yellow Fever,Some travelers
belarus,Measles,All travelers
belarus,Routine vaccines,All travelers
belarus,Hepatitis A,Most travelers
belarus,Hepatitis B,Some travelers
belarus,Rabies,Some travelers
