Country,Vaccine,Recommendations
afghanistan,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
afghanistan,Cholera,There is no longer active cholera transmission and vaccine is not recommended.
afghanistan,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Afghanistan.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
afghanistan,Hepatitis B,Recommended for unvaccinated travelers of all ages to Afghanistan.
afghanistan,Malaria,"CDC recommends that travelers going to certain areas of Afghanistan take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take.
Find country-specific information about malaria."
afghanistan,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
afghanistan,Polio,A single lifetime booster dose of Inactivated Polio Vaccine (IPV) is recommended for adults who received the routine polio vaccination series as children; the routine series is recommended for unvaccinated or incompletely vaccinated children and adults and those with unknown vaccination status.
afghanistan,Rabies,"Rabid dogs are commonly found in Afghanistan. If you are bitten or scratched by a dog or other mammal while in Afghanistan, there may be limited or no rabies treatment available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to Afghanistan."
afghanistan,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
albania,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
